Type,ID,SedRed,Cost,Duck
WCMO,431,3.126,5902.886,3.221
WCMO,432,8.432,2437.078,3.566
WCMO,433,8.198,7369.428,5.217
WCMO,434,13.486,9952.819,6.342
WCMO,435,12.853,8717.428,6.553
WCMO,436,10.738,20260.996,5.663
WCMO,437,3.048,5880.151,3.194
WCMO,438,2.373,11006.207,2.82
WCMO,439,7.114,12286.044,5.109
WCMO,440,5.496,7593.223,4.494
WCMO,441,198.669,135160.035,26.038
WCMO,442,4.877,16408.94,4.051
WCMO,443,2.712,5871.239,3.169
WCMO,444,6.259,7011.031,4.84
WCMO,445,3.848,6236.214,3.787
WCMO,446,14.036,14513.075,7.226
WCMO,447,3.278,6052.931,3.471
WCMO,448,12.92,14153.88,6.91
WCMO,449,21.544,36931.483,8.92
WCMO,451,15.274,20981.036,6.744
WCMO,452,3.797,6100.837,3.439
WCMO,453,36.399,40408.635,10.66
WCMO,454,2.973,5833.684,2.995
WCMO,455,2.114,10870.78,2.527
WCMO,456,174.493,148075.91,22.967
WCMO,457,42.628,39760.673,11.547
WCMO,458,4.943,12104.72,3.937
WCMO,459,4.697,17638.114,3.841
WCMO,460,26.542,28523.387,9.14
WCMO,461,25.084,19095.422,8.856
WCMO,462,4.056,11748.474,3.591
WCMO,463,2.683,6126.196,2.894
WCMO,464,7.185,27053.769,4.746
WCMO,465,16.12,14169.182,7.181
WCMO,466,8.684,7482.464,5.217
WCMO,467,41.255,33474.725,11.508
WCMO,468,2.814,16212.894,3.013
WCMO,469,2.982,5971.149,3.411
WCMO,470,8.008,23362.085,5.015
WCMO,471,6.059,17570.73,4.412
WCMO,472,5.388,8015.658,4.15
WCMO,473,3.774,987.976,3.329
WCMO,474,2.303,665.225,2.716
WCMO,475,6.869,6984.535,4.688
WCMO,476,3.639,1087.306,3.498
WCMO,477,6.892,2060.014,4.818
WCMO,478,18.069,20127.402,7.565
WCMO,479,2.777,5715.613,2.836
WCMO,480,13.071,3858.253,6.6
WCMO,481,3.902,1021.605,3.399
WCMO,482,19.279,15054.05,7.562
WCMO,483,2.418,632.889,2.678
WCMO,484,211.056,93859.247,28.022
WCMO,485,11.321,8639.294,6.439
WCMO,486,1.934,5577.582,2.554
WCMO,487,25.059,11572.499,8.602
WCMO,488,24.315,15696.75,9.082
WCMO,489,5.586,6794.669,4.517
WCMO,490,3.46,11517.977,3.417
WCMO,491,14.261,14585.582,7.212
WCMO,492,3.208,5958.318,3.292
WCMO,493,40.359,28004.499,12.163
WCMO,494,72.052,36707.944,15.67
WCMO,495,3.02,10894.462,3.076
WCMO,496,2.63,730.565,2.664
WCMO,497,6.789,1886.419,4.277
WCMO,498,11.219,20633.22,5.521
