Site_ID,River,Zone,HYDSB,SEDSB,SEDSB_R,Watershed,subwatersh,budget_rat,gag_loc_LES,zone_LES,TOPOWAT_LES,HYDSB_LES30SB,area_m2,DA_9_SA_m2,LAND_COVER,FrmlndCls,DrainClass,HydrcRatng,Hydri,PondFCls,Slope,SurfText,Tfactor,compname,KfactorRF,KfactorWS,mean_slope,mean_D_m,total_V_m3,mean_V_m3,MUSYM,CropProdIn,NEAR_FID,NEAR_DIST,NEAR_FC,CPI_depth
3821,LES,3,7,262,219,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,5,10066.95801,90602.62207,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,1,silty clay loam,5,Marna,0.28,0.28,0.3865798,0.3824174,3841.000977,3847.188477,110,87,6379,305.4916931,GBER_CONUS_wet_poly,227.5000916
3822,COB,3,10,285,291,Le Sueur,Lower Cobb,Cobb btwn gauges,BT,3,LO,12,336817.2188,3031354.969,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,0.833333333,silty clay loam,5,Waldorf,0.28,0.28,0.0308909,0.6471233,217582.9375,217816.0469,211,84,6379,654.8089504,GBER_CONUS_wet_poly,129.8052368
3823,COB,3,10,285,291,Le Sueur,Lower Cobb,Cobb btwn gauges,BT,3,LO,12,5284.758789,47562.8291,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,0.75,silty clay loam,5,Marna,0.28,0.28,0.3286352,0.2561154,1327.702271,1352.601318,211,84,962,866.4024086,NCED easement_GBERB,327.9771423
3824,LES,3,7,262,219,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,5,3649.469238,32845.22314,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,0.5,clay,5,Beauford,0.28,0.28,3.5699255,0.1939435,691.2147827,707.3134155,211,79,6379,39.04758135,GBER_CONUS_wet_poly,407.335022
3825,COB,3,7,302,291,Le Sueur,Lower Cobb,Cobb btwn gauges,BT,3,LO,12,27013.70117,243123.3105,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,1,silty clay loam,5,Minnetonka,0.28,0.28,0.155881,0.3667421,9921.841797,9900.424805,364,81,962,867.2580245,NCED easement_GBERB,220.8636322
3826,COB,3,7,302,291,Le Sueur,Lower Cobb,Cobb btwn gauges,BT,3,LO,12,4998.124512,44983.12061,Cultivated Crops,Prime farmland if drained,Very poorly drained,All Hydric,1,Frequent,0.75,silty clay,5,Lura,0.28,0.28,0.1843839,0.1278246,652.2888794,638.4542236,211,83,6379,909.4800215,GBER_CONUS_wet_poly,649.3273315
3827,LES,3,7,262,219,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,5,3044.195313,27397.75781,Cultivated Crops,Prime farmland if drained,Very poorly drained,All Hydric,1,Frequent,0.5,silty clay,5,Lura,0.28,0.28,0.3816049,0.2025544,607.055481,616.2010498,211,81,6379,942.5963785,GBER_CONUS_wet_poly,399.8926086
3828,COB,3,7,302,291,Le Sueur,Lower Cobb,Cobb btwn gauges,BT,3,LO,12,5512.496094,49612.46484,Cultivated Crops,All areas are prime farmland,Moderately well drained,Not Hydric,0,None,2.25,silty clay,5,Shorewood,0.28,0.28,0.2974674,0.2224257,1207.104126,1225.297974,229,90,10319,909.6849422,GBER_CONUS_wet_poly,404.6295471
3840,LES,2,14,319,317,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,18,20712.45703,186412.1133,Cultivated Crops,Prime farmland if drained,Poorly drained,Partially Hydric,0.5,None,2.525,loam,4.25,Delft,0.185,0.185,1.5218511,0.8158692,16851.77734,16885.82422,L129B,92,2918,714.3007281,GBER_CONUS_wet_poly,112.7631683
3841,LES,2,14,319,317,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,18,88803.23438,799229.1094,Cultivated Crops,Farmland of statewide importance,Well drained,Partially Hydric,0.5,None,4.4125,loam,4.625,Storden,0.2125,0.2125,1.7518108,1.8981347,167278.8281,168432.4688,L117C2,92,10509,717.2713197,GBER_CONUS_wet_poly,48.4686356
3842,LES,2,14,319,317,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,18,56347.39844,507126.5859,Cultivated Crops,Prime farmland if drained,Poorly drained,Partially Hydric,0.5,None,2.3,clay loam,4.714285714,Cordova,0.2142857,0.2142857,0.1815414,0.8733515,49165.32422,49173.71484,L14A,87,144,705.2138814,NCED easement_GBERB,99.6162491
3843,LES,1,14,354,356,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,18,215678.5,1941106.5,Cultivated Crops,Farmland of statewide importance,Well drained,Partially Hydric,0.5,None,3.305,loam,4.85,Lester,0.243,0.243,0.2220335,1.8902477,409416.3125,407376.1875,L5A,89,11559,51.76751034,GBER_CONUS_wet_poly,47.0837746
3844,LES,1,14,354,356,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,18,14679.72363,132117.5127,Cultivated Crops,Prime farmland if drained,Poorly drained,Partially Hydric,0.5,None,3.025,clay loam,5,Canisteo,0.26,0.26,0.3069742,0.6806548,9979.080078,9984.228516,L101C2,87,13424,173.6668417,GBER_CONUS_wet_poly,127.8181
3845,LES,1,14,354,356,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,18,7215.140625,64936.26563,Cultivated Crops,Prime farmland if drained,Poorly drained,Partially Hydric,0.5,None,2.25,clay loam,5,Canisteo,0.24,0.24,0.4086048,0.444707,3241.914307,3206.182861,L100B,84,13424,374.3681789,GBER_CONUS_wet_poly,188.8883972
3846,LES,2,14,319,317,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,18,45147.32813,406325.9531,Cultivated Crops,Not prime farmland,Poorly drained,Partially Hydric,0.5,None,4.915384615,silty clay loam,5,Havelock,0.2584615,0.2584615,2.8035352,3.104882,138825.4688,140070.8281,L80C2,83,144,0,NCED easement_GBERB,26.7320957
3847,LES,1,14,354,356,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,18,6049.254395,54443.28955,Open Water,Not prime farmland,,Unknown Hydric,0.5,None,0,,0,Pits,0,0,2.8648937,3.4393847,20058.49219,20789.91406,M-W,0,1808,0,GBER_CONUS_wet_poly,0
3848,LES,1,14,354,356,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,18,18861.04102,169749.3691,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,1.066666667,loam,4.666666667,Fieldon,0.28,0.28,0.4937778,0.4071915,7618.961426,7674.230957,L36A,89,11559,387.1099063,GBER_CONUS_wet_poly,218.5703583
