Site_ID,SedRed,Cost,NEAR_FID,Cluster_size,NEAR_DIST,area_m2,Sedrank,NEARrank,bcr
15167,5.908,5832.448,3809,1,398.6665736,4337.208496,1.0,1.0,0.0010129537374358073
18195,4.973,11318.447,4100,2,21.102405800000003,3494.792725,2.0,1.0,0.00043937123175997556
18191,19.384,14781.715,4100,2,374.2474716,16801.75977,1.0,2.0,0.00131134986704858
15505,14.571,2312.675,4124,1,2193.123697,12049.4668,1.0,1.0,0.00630049617866756
14477,5.19,5663.626,4149,2,597.1735361000002,3457.616455,2.0,2.0,0.0009163740684854544
14479,11.445,6701.103,4149,2,367.0824619,8863.06543,1.0,1.0,0.0017079277844259371
15501,99.204,22464.786,4305,1,251.15609280000004,90994.78906,1.0,1.0,0.004415977966582899
14842,4.799,5598.732,4418,5,1472.935507,3119.503906,5.0,4.0,0.0008571583708596876
15236,5.046,5666.579000000002,4418,5,1802.548092,3473.001953,4.0,5.0,0.0008904843645522277
15234,5.9060000000000015,10815.227,4418,5,1192.44064,4247.484375,3.0,3.0,0.0005460819268980671
15232,15.806,7424.621999999998,4418,5,699.8680386,12632.73145,2.0,2.0,0.0021288625872131948
15233,69.22800000000001,11567.665,4418,5,159.03220990000003,60269.6875,1.0,1.0,0.005984613143620601
17614,19.431,3266.502,4469,1,260.1677948,17019.08203,1.0,1.0,0.005948565162366348
14067,5.5820000000000025,731.313,4474,5,696.1661464,3810.276611,5.0,4.0,0.0076328466744061746
13085,5.711,752.7389999999997,4474,5,723.2741076,3921.909912,4.0,5.0,0.007586959092062458
13878,9.987,12294.193,4474,5,382.6490906,7630.575195,3.0,3.0,0.0008123347339674919
13876,11.649,12727.718,4474,5,156.27946200000005,9072.49707,2.0,2.0,0.0009152465508742414
13877,353.47900000000016,107432.473,4474,5,92.39606988,324064.2188,1.0,1.0,0.003290243537445146
15171,5.058,5698.198,4692,1,63.00632306,3637.740234,1.0,1.0,0.0008876490427324567
10100,40.395,18391.714,4696,1,486.27946110000005,31192.66211,1.0,1.0,0.0021963695172728327
15216,5.939,5820.935,4723,5,0.0,4277.222168,5.0,1.0,0.001020282823979309
14481,7.451,6038.499,4723,5,209.2959666,5410.773438,4.0,3.0,0.001233915911884725
14480,7.779,11620.614,4723,5,553.1112405,5694.4365229999985,3.0,5.0,0.0006694138536913798
15174,8.533999999999999,1324.0929999999996,4723,5,45.89696175,6898.771484000001,2.0,2.0,0.00644516661594012
15175,9.831,11557.969,4723,5,298.5268511000001,8117.306640999999,1.0,4.0,0.0008505819664337221
15440,60.437,37316.472,4845,1,0.0,52723.27344,1.0,1.0,0.0016195796858824165
17131,4.578,10941.988,5054,9,504.07949,3133.088379,9.0,2.0,0.0004183883221220861
16457,4.722,10978.718,5054,9,1354.377153,3255.255127,8.0,8.0,0.00043010486288107595
17129,8.128,6819.145,5054,9,1283.776643,6392.022461,7.0,7.0,0.0011919382855181992
17132,14.001,13358.904,5054,9,892.7712433,11802.35547,6.0,4.0,0.0010480650209029124
16436,14.517,7356.419,5054,9,1554.198771,12277.37988,5.0,9.0,0.0019733786234851494
16455,27.743,12355.617,5054,9,670.5839177,24465.06836,4.0,3.0,0.002245375524346538
16448,41.76300000000001,24740.42,5054,9,960.1461876,37476.69531,3.0,5.0,0.0016880473330687198
16456,47.503,17832.732,5054,9,1192.664902,42682.16797,2.0,6.0,0.002663809448827022
17130,274.225,187302.753,5054,9,167.39241819999995,249216.3125,1.0,1.0,0.0014640735152461962
18179,7.314,1085.578,5084,2,0.0,5656.064453,2.0,1.0,0.00673742467146534
18176,26.351,9459.879,5084,2,122.020152,23236.79883,1.0,2.0,0.002785553599575639
15490,5.235,10731.878,5204,2,171.0429388,3813.220459000001,2.0,1.0,0.0004877990599594964
15489,10.687,11717.678999999998,5204,2,505.2033992,8949.429688,1.0,2.0,0.0009120406865557591
13074,10.644,7639.893,5240,4,199.0431683,8780.387695,4.0,2.0,0.001393213229557011
13072,15.117,8889.005,5240,4,0.0,12934.98438,3.0,1.0,0.0017006402853862723
13082,47.655,12745.195,5240,4,1026.095213,40353.90625,2.0,4.0,0.0037390561697957544
13081,72.193,11647.978,5240,4,566.793113,60688.13281,1.0,3.0,0.006197899755648577
15498,5.563,10783.405,5299,4,543.691589,4081.685059,4.0,3.0,0.000515885288552178
15499,6.682,5983.731,5299,4,0.0,5125.4208979999985,3.0,1.0,0.0011166945840312675
15496,13.701,2240.506,5299,4,83.52257009,11673.45215,2.0,2.0,0.0061151364914889764
15513,16.807000000000002,12699.079,5299,4,653.6644345,14062.705080000002,1.0,4.0,0.0013234818052553262
16444,5.537000000000001,5770.685,5368,4,49.14654918,4015.412842,4.0,1.0,0.0009595048074881925
18174,6.0760000000000005,5879.4,5368,4,500.4207696,4581.839356,3.0,3.0,0.001033438786270708
18173,6.6,5973.78,5368,4,734.6290739,5073.575684,2.0,4.0,0.0011048280987917198
18177,99.235,22185.771,5368,4,56.60815093,89541.07031,1.0,2.0,0.004472911939819446
14824,21.147,3419.761,5372,1,0.0,17817.58984,1.0,1.0,0.006183765473669066
10916,5.6160000000000005,674.6310000000002,5386,2,362.4023264,3514.953857,2.0,1.0,0.008324550754412411
10917,25.162,3657.15,5386,2,392.0302563,19054.43164,1.0,2.0,0.006880220937068482
19582,5.978,6255.3830000000025,5402,3,251.5838261,4411.103515999999,3.0,2.0,0.0009556569118149916
18156,9.324,7132.057,5402,3,22.26610354,7491.517578,2.0,1.0,0.001307336719266265
18157,28.691,12209.268999999998,5402,3,255.0468851,25331.58008,1.0,3.0,0.0023499359380156175
18159,32.514,18233.572,5441,4,640.6803559,28930.72852,4.0,2.0,0.0017831942090118164
18161,63.278,11010.659,5441,4,995.9273915,57367.58203,3.0,3.0,0.005746976634186928
