Site_ID,SedRed,Cost,NEAR_FID,NEAR_DIST,area_m2,Sedrank,bcr,bcr_epis,SedRed_epis
12066,44.187,13451.698,540,10.6648661,44034.92188,2,0.003284864,0.003284864,44.187
12067,53.471,10278.153,540,132.9181995,53551.09375,1,0.005202394,0.005202394,53.471
12340,11.322,6875.611,553,431.6431307,9772.280273,2,0.00164669,0,0
12865,45.713,13024.615,553,355.7264152,41809.73828,1,0.003509739,0.003509739,45.713
12757,7.474,12327.67,556,0,6169.928223,2,0.000606278,0,0
12756,27.34,12309.189,556,18.63757692,25682.67383,1,0.002221105,0.002221105,27.34
13080,5.196,5713.322,561,706.4987133,3716.542969,5,0.000909453,0,0
13078,5.591,6161.759,561,494.5637478,4082.131592,4,0.000907371,0,0
13076,7.562,6682.058,561,440.3733064,5910.333984,3,0.001131687,0.001131687,7.562
13079,11.186,12638.734,561,827.770755,9271.857422,2,0.000885057,0.000885057,11.186
13077,13.087,13140.834,561,897.3403133,11036.1123,1,0.000995903,0.000995903,13.087
13456,5.385,774.358,562,93.30703417,4034.552002,9,0.006954148,0,0
13455,5.804,5851.794,562,30.60578376,4438.004883,8,0.000991833,0,0
13450,6.751,6026.4,562,522.1274525,5347.73291,7,0.001120238,0,0
13590,7.284,6761.841,562,55.98269724,5859.950684,6,0.001077221,0,0
13591,9.72,6574.3,562,257.7670935,8202.396484,5,0.001478484,0.001478484,9.72
12701,16.381,12822.749,562,841.4113975,14707.04785,4,0.001277495,0.001277495,16.381
13460,28.388,12978.204,562,0,26535.81836,3,0.00218736,0.00218736,28.388
13451,30.249,18402.079,562,406.2584406,27945.64453,2,0.001643782,0.001643782,30.249
13587,251.298,55445.631,562,35.73684149,236780.2031,1,0.004532332,0.004532332,251.298
14665,4.658,5681.876,564,1871.856251,3552.699463,13,0.0008198,0,0
14654,5.224,795.975,564,357.2476188,4147.17627,12,0.00656302,0,0
14658,6.023,11488.18,564,480.8082173,4949.745117,11,0.000524278,0,0
15400,7.864,11311.699,564,2288.887767,6834.194824,10,0.000695209,0,0
14663,8.42,1426.198,564,1625.815098,7430.757813,9,0.005903809,0,0
14661,9.358,6605.314,564,1437.400659,8363.985352,8,0.001416738,0,0
14667,10.168,6771.082,564,1961.199287,9227.666016,7,0.00150168,0.00150168,10.168
15397,11.834,12091.859,564,2099.791021,10898.97559,6,0.000978675,0.000978675,11.834
14666,13.025,12325.809,564,1904.755159,12117.89844,5,0.001056726,0.001056726,13.025
14660,14.553,2636.003,564,1346.252615,13734.06738,4,0.005520859,0.005520859,14.553
15381,23.535,9408.02,564,882.2010581,22966.60547,3,0.002501589,0.002501589,23.535
14662,36.19,6905.276,564,1482.119479,35977.77344,2,0.00524092,0.00524092,36.19
14670,77.04,19685.846,564,500.9327057,76515.99219,1,0.003913472,0.003913472,77.04
13443,4.609,5644.45,568,158.5306995,3357.705566,3,0.000816554,0,0
13444,7.474,1184.055,568,255.107776,6169.148438,2,0.006312207,0.006312207,7.474
13084,22.589,15980.461,568,408.7106758,21013.85352,1,0.001413539,0.001413539,22.589
12338,4.523,5617.324,572,154.1333215,3216.373291,3,0.000805188,0,0
12296,12.903,13409.266,572,215.4907085,11339.35156,2,0.000962245,0.000962245,12.903
12339,23.676,9162.655,572,59.2926442,21688.20898,1,0.002583967,0.002583967,23.676
14030,4.964,6382.024,573,539.4475116,3663.314209,5,0.00077781,0,0
15376,5.515,6596.556,573,785.345059,4231.973145,4,0.000836042,0,0
14027,5.99,879.935,573,116.2675374,4584.623047,3,0.006807321,0.006807321,5.99
14024,7.514,1159.101,573,75.9656903,6039.132813,2,0.00648261,0.00648261,7.514
14028,45.943,17031.918,573,29.88236921,42277.17188,1,0.002697465,0.002697465,45.943
13448,4.746,5993.941,574,1226.822513,3492.462158,16,0.0007918,0,0
14079,5.77,5762.582,574,1060.322593,3973.192383,15,0.001001287,0,0
13446,6.878,6589.274,574,209.2068928,5584.314941,14,0.001043818,0,0
14759,7.47,1183.447,574,752.3123612,6165.981445,13,0.00631207,0,0
13449,16.43,9258.321,574,332.6440715,14962.68262,12,0.00177462,0,0
14705,17.77,9731.792,574,1549.173755,16626.3418,11,0.001825974,0,0
13441,21.035,10545.817,574,1621.31868,19486.62305,10,0.00199463,0,0
13447,21.096,10563.059,574,613.4072595,19547.20703,9,0.001997149,0,0
13083,25.058,8975.132,574,797.5744672,20711.17578,8,0.002791937,0.002791937,25.058
