Site_ID,SedRed,Cost,NEAR_FID,NEAR_DIST,area_m2,Cluster_size,Sedrank
14068,5.937,5790.426,2810,979.0364875,4118.269043,2,2
14072,38.491,20497.757,2810,571.257066,34915.94922,2,1
16055,4.567,5583.794,2833,1425.311146,3041.673828,3,3
16461,5.818,799.943,2833,1444.041058,4167.849609,3,2
16059,36.204,6053.937,2833,1190.672489,31542.14063,3,1
15503,51.094,8938.744,2938,0,46572.52344,1,1
15495,17.142,25912.007,3005,0,15030.94824,1,1
13059,5.338,731.93,3209,240.7502901,3813.493652,4,4
15163,5.414,10725.059,3209,329.4389856,3777.692871,4,3
15165,14.178,12228.983,3209,293.6225764,11613.41699,4,2
15164,18.984,3138.68,3209,35.72245031,16353.10645,4,1
14767,6.433,5872.984,3243,96.38668721,4548.408203,2,2
14769,108.479,24031.807,3243,481.169246,99159.25781,2,1
15961,5.431,5757.437,3247,930.813722,3946.386963,10,10
15963,6.53,5953.655,3247,1227.172315,4968.720215,10,9
15959,10.661,6691.086,3247,1068.944018,8810.874023,10,8
15955,25.959,9422.611,3247,456.0722021,23042.62891,10,7
15960,51.784,14036.221,3247,490.3396558,47080.39453,10,6
15956,57.888,15127.013,3247,863.0541821,52763.625,10,5
15964,60.451,15585.214,3247,886.3800658,55150.9375,10,4
15965,62.372,27119.455,3247,1440.014445,56939.97656,10,3
15957,137.257,28901.189,3247,0,124529.6484,10,2
15445,203.179,65612.38,3247,377.9948865,184968.9531,10,1
14841,5.503,715.49,3316,1095.073154,3727.835938,4,4
14840,7.216,5999.632,3316,1107.523578,5208.26709,4,3
14838,19.082,12968.466,3316,557.9470146,15466.25879,4,2
14113,22.292,8501.305,3316,133.7697463,18242.45117,4,1
13058,45.078,16807.676,3594,181.6104261,39272.79297,1,1
15167,5.908,5832.448,3809,398.6665736,4337.208496,1,1
18195,4.973,11318.447,4100,21.1024058,3494.792725,2,2
18191,19.384,14781.715,4100,374.2474716,16801.75977,2,1
15505,14.571,2312.675,4124,2193.123697,12049.4668,1,1
